tag_id,tag_name,dimension,parent_tag_id,definition,inclusion_rule,exclusion_rule,positive_example,negative_example,object_grain,source_scope,cardinality,decision_method,confidence_threshold,status,version,effective_from,change_reason
collaboration-product-bundle,联名产品或套餐,业务动作,theme-collaboration,联名合作下用于监测“联名产品或套餐”的正式标签,action.level2_code equals product_bundle,只有文本提及但与事件动作无关，或来源不在品牌事实层,霸王茶姬 × 王者荣耀,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-offline-event,联名线下活动,业务动作,theme-collaboration,联名合作下用于监测“联名线下活动”的正式标签,action.level2_code equals offline_event,只有文本提及但与事件动作无关，或来源不在品牌事实层,库迪咖啡苏超观赛互动,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-duolingo,多邻国,联名领域/IP,theme-collaboration,联名合作下用于监测“多邻国”的正式标签,entity_ids includes ENT-COLLAB-PARTNER-多邻国,只有文本提及但与事件动作无关，或来源不在品牌事实层,瑞幸咖啡 × 多邻国内容联动,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-honor-of-kings,王者荣耀,联名领域/IP,theme-collaboration,联名合作下用于监测“王者荣耀”的正式标签,entity_ids includes ENT-COLLAB-PARTNER-王者荣耀,只有文本提及但与事件动作无关，或来源不在品牌事实层,霸王茶姬 × 王者荣耀,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-crocs,Crocs,联名领域/IP,theme-collaboration,联名合作下用于监测“Crocs”的正式标签,entity_ids includes ENT-COLLAB-PARTNER-crocs,只有文本提及但与事件动作无关，或来源不在品牌事实层,瑞幸咖啡 × Crocs 夏日联名,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-miffy,米菲,联名领域/IP,theme-collaboration,联名合作下用于监测“米菲”的正式标签,entity_ids includes ENT-COLLAB-PARTNER-米菲,只有文本提及但与事件动作无关，或来源不在品牌事实层,古茗 × 米菲,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-sanrio,三丽鸥,联名领域/IP,theme-collaboration,联名合作下用于监测“三丽鸥”的正式标签,entity_ids includes ENT-COLLAB-PARTNER-三丽鸥,只有文本提及但与事件动作无关，或来源不在品牌事实层,茉莉奶白 × 三丽鸥日晒海岛派对,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
collaboration-spider-man,蜘蛛侠,联名领域/IP,theme-collaboration,联名合作下用于监测“蜘蛛侠”的正式标签,entity_ids includes ENT-COLLAB-PARTNER-蜘蛛侠,只有文本提及但与事件动作无关，或来源不在品牌事实层,库迪咖啡 ×《蜘蛛侠：崭新之日》,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
theme-brand_event,品牌事件,核心主题,,互动、节日、门店、人物与品牌动作,event.theme_ids包含brand_event,非品牌事实层或无对应事件证据,喜茶大家的灵感内容互动,仅资讯号转述且无品牌事实,event,brand,multi,规则+已审核主题分配,人工确认,active,bi-tag-rule-v1.2,2026-07-21,V1.2正式维表化
brand-new-format,新店型,业务动作,theme-brand_event,品牌事件下用于监测“新店型”的正式标签,action.level2_code equals new_format,只有文本提及但与事件动作无关，或来源不在品牌事实层,喜茶上海炒冰实验室+,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-ugc,UGC互动,业务动作,theme-brand_event,品牌事件下用于监测“UGC互动”的正式标签,action.level2_code equals ugc_social,只有文本提及但与事件动作无关，或来源不在品牌事实层,喜茶大家的灵感内容互动,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-offline-event,联名线下活动,业务动作,theme-brand_event,品牌事件下用于监测“联名线下活动”的正式标签,action.level2_code equals offline_event,只有文本提及但与事件动作无关，或来源不在品牌事实层,库迪咖啡苏超观赛互动,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-seasonal,节日营销,业务动作,theme-brand_event,品牌事件下用于监测“节日营销”的正式标签,action.level2_code equals seasonal_campaign,只有文本提及但与事件动作无关，或来源不在品牌事实层,瑞幸全冰节与全冰去水系列,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-corporate-legal,企业/法律/公共事务,业务动作,theme-brand_event,品牌事件下用于监测“企业/法律/公共事务”的正式标签,action.level2_code equals corporate_legal,只有文本提及但与事件动作无关，或来源不在品牌事实层,瑞幸泰国商标维权进展,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-person,人物传播,业务动作,theme-brand_event,品牌事件下用于监测“人物传播”的正式标签,action.level2_code equals spokesperson_person,只有文本提及但与事件动作无关，或来源不在品牌事实层,吴克群到访蜜雪冰城总部,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-supply-chain,原料/产区/供应链,业务动作,theme-brand_event,品牌事件下用于监测“原料/产区/供应链”的正式标签,action.level2_code equals origin_supply_chain,只有文本提及但与事件动作无关，或来源不在品牌事实层,瑞幸广西茉莉产区内容,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
brand-store-channel,门店渠道,业务动作,theme-brand_event,品牌事件下用于监测“门店渠道”的正式标签,action.level2_code equals store_channel,只有文本提及但与事件动作无关，或来源不在品牌事实层,茶百道成都宽窄巷子旗舰店,无可回读证据的模糊提及,event,brand,multi,确定性选择器+分析复核,规则命中并复核,active,bi-tag-rule-v1.2,2026-07-21,继承V1.1精选标签并补齐治理字段
product-routine-promotion,常规产品传播,业务动作,theme-product_action,围绕既有产品菜单、喝法或选择进行的常规传播，不属于新品上市,action.level2_code=routine_promotion且官方正文明确展示产品,没有具体产品、纯企业事务或仅第三方转述,茶百道咖啡产品集合,仅品牌态度表达,event,brand,multi,确定性动作码+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2复核补充，避免咖啡菜单事件无正式标签
category-drinkware,杯具,产品品类,category-level1-merch_packaging,周边包材下的标准二级品类：杯具,event.product_categories.level2_code=drinkware,正文无具体产品证据，或应归入非产品内容,库迪咖啡 ×《蜘蛛侠：崭新之日》,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-slush_ice_drink,冰沙／冰饮,产品品类,category-level1-frozen_dessert,冰品甜品下的标准二级品类：冰沙／冰饮,event.product_categories.level2_code=slush_ice_drink,正文无具体产品证据，或应归入非产品内容,茶百道遥远的相似性互动,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-tea_specialty,茶基底特调,产品品类,category-level1-tea,茶饮下的标准二级品类：茶基底特调,event.product_categories.level2_code=tea_specialty,正文无具体产品证据，或应归入非产品内容,蜜雪冰城黄桃果霸系列回归,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-pure_tea,纯茶,产品品类,category-level1-tea,茶饮下的标准二级品类：纯茶,event.product_categories.level2_code=pure_tea,正文无具体产品证据，或应归入非产品内容,霸王茶姬 × 王者荣耀,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-non_product,非产品内容,产品品类,category-level1-non_product,非产品内容下的标准二级品类：非产品内容,event.product_categories.level2_code=non_product,正文无具体产品证据，或应归入非产品内容,瑞幸泰国商标维权进展,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-flavored_specialty,风味特调咖啡,产品品类,category-level1-coffee,咖啡下的标准二级品类：风味特调咖啡,event.product_categories.level2_code=flavored_specialty,正文无具体产品证据，或应归入非产品内容,库迪咖啡 ×《蜘蛛侠：崭新之日》,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-fruit_tea,果茶／果饮,产品品类,category-level1-tea,茶饮下的标准二级品类：果茶／果饮,event.product_categories.level2_code=fruit_tea,正文无具体产品证据，或应归入非产品内容,蜜雪冰城黄桃果霸系列回归,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-fruit_tea_coffee,果咖／茶咖,产品品类,category-level1-coffee,咖啡下的标准二级品类：果咖／茶咖,event.product_categories.level2_code=fruit_tea_coffee,正文无具体产品证据，或应归入非产品内容,库迪咖啡 ×《蜘蛛侠：崭新之日》,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-badge_magnet_sticker_card,徽章／冰箱贴／贴纸／卡片,产品品类,category-level1-merch_packaging,周边包材下的标准二级品类：徽章／冰箱贴／贴纸／卡片,event.product_categories.level2_code=badge_magnet_sticker_card,正文无具体产品证据，或应归入非产品内容,霸王茶姬 × 王者荣耀,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-cold_brew,冷萃,产品品类,category-level1-coffee,咖啡下的标准二级品类：冷萃,event.product_categories.level2_code=cold_brew,正文无具体产品证据，或应归入非产品内容,瑞幸咖啡 × Crocs 夏日联名,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-americano_black,美式／黑咖,产品品类,category-level1-coffee,咖啡下的标准二级品类：美式／黑咖,event.product_categories.level2_code=americano_black,正文无具体产品证据，或应归入非产品内容,瑞幸全冰节与全冰去水系列,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-milk_coffee,奶咖,产品品类,category-level1-coffee,咖啡下的标准二级品类：奶咖,event.product_categories.level2_code=milk_coffee,正文无具体产品证据，或应归入非产品内容,茶百道咖啡产品集合,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-other_beverage,其他饮品,产品品类,category-level1-other_beverage,其他饮品下的标准二级品类：其他饮品,event.product_categories.level2_code=other_beverage,正文无具体产品证据，或应归入非产品内容,沪上阿姨绿豆冰升级回归,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-other_merchandise,其他周边,产品品类,category-level1-merch_packaging,周边包材下的标准二级品类：其他周边,event.product_categories.level2_code=other_merchandise,正文无具体产品证据，或应归入非产品内容,霸王茶姬 × 王者荣耀,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-yogurt_fermented,酸奶／发酵乳,产品品类,category-level1-other_beverage,其他饮品下的标准二级品类：酸奶／发酵乳,event.product_categories.level2_code=yogurt_fermented,正文无具体产品证据，或应归入非产品内容,茶百道夏日柑橘系列,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-fresh_milk_tea,鲜奶茶／轻乳茶,产品品类,category-level1-tea,茶饮下的标准二级品类：鲜奶茶／轻乳茶,event.product_categories.level2_code=fresh_milk_tea,正文无具体产品证据，或应归入非产品内容,茉莉奶白滇西特调上新,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
category-gelato_shaved,Gelato／炒冰,产品品类,category-level1-frozen_dessert,冰品甜品下的标准二级品类：Gelato／炒冰,event.product_categories.level2_code=gelato_shaved,正文无具体产品证据，或应归入非产品内容,喜茶上海炒冰实验室+,仅品牌态度或企业事务,event,brand,multi,品类规则+V1.2复核,官方正文明确,active,bi-tag-rule-v1.2,2026-07-21,V1.2补齐事实表已引用的正式品类标签
promotion-buy-one-get-one,买一送一,促销机制,,促销机制：买一送一,正文或已核实证据明确出现买一送一,标题误命中、评论猜测或无可打开证据,见对应事实表,无证据推断,promotion,brand/third_party,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
promotion-coupon,优惠券,促销机制,,促销机制：优惠券,正文或已核实证据明确出现优惠券,标题误命中、评论猜测或无可打开证据,见对应事实表,无证据推断,promotion,brand/third_party,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
promotion-gift,赠品,促销机制,,促销机制：赠品,正文或已核实证据明确出现赠品,标题误命中、评论猜测或无可打开证据,见对应事实表,无证据推断,promotion,brand/third_party,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
promotion-fixed-price,限时一口价,促销机制,,促销机制：限时一口价,正文或已核实证据明确出现限时一口价,标题误命中、评论猜测或无可打开证据,见对应事实表,无证据推断,promotion,brand/third_party,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
promotion-pass-card,阶梯次卡,促销机制,,促销机制：阶梯次卡,正文或已核实证据明确出现阶梯次卡,标题误命中、评论猜测或无可打开证据,见对应事实表,无证据推断,promotion,brand/third_party,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
source-brand,品牌,来源类型,,分析来源层：品牌,analysis_source_class=brand,不得覆盖来源登记原始类型,见对应事实表,无证据推断,account/post,all,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
source-third-party,三方,来源类型,,分析来源层：三方,analysis_source_class=third-party,不得覆盖来源登记原始类型,见对应事实表,无证据推断,account/post,all,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
source-koc,KOC,来源类型,,分析来源层：KOC,analysis_source_class=koc,不得覆盖来源登记原始类型,见对应事实表,无证据推断,account/post,all,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
source-editorial,编辑热点,来源类型,,分析来源层：编辑热点,analysis_source_class=editorial,不得覆盖来源登记原始类型,见对应事实表,无证据推断,account/post,all,single,规则+人工复核,明确证据,active,bi-tag-rule-v1.2,2026-07-21,V1.2新增
